Chestnut Hill Community School,Gr.6,1,4,9,1,0,0,176,
Swift River Elementary,Gr.1,5,4,3,1,0,1,154,
Swift River Elementary,Gr.2,1,1,10,1,0,0,156,
Swift River Elementary,Gr.3,1,4,6,8,0,1,169,
Jabish Middle School,Gr.7,3,1,9,3,0,0,188,
Jabish Middle School,Gr.8,3,3,2,5,1,1,178,
Belchertown High,Gr.9,3,7,8,3,0,0,156,
Belchertown High,Gr.10,2,5,4,3,0,0,171,
Belchertown High,Gr.11,4,4,2,1,1,0,169,
Belchertown High,Gr.12,2,7,9,6,1,0,172,
Belchertown High,SP,***,***,***,***,***,***,***,
Bellingham Early Childhood Center,PK,0,2,0,0,0,0,87,
Clara Macy Elementary,K,0,2,1,4,0,0,55,
Clara Macy Elementary,Gr.1,0,3,2,1,0,0,35,
Clara Macy Elementary,Gr.2,1,1,5,1,0,0,38,
Clara Macy Elementary,Gr.3,0,4,0,0,0,0,36,
Clara Macy Elementary,Gr.4,0,1,0,0,0,0,49,
South Elementary,K,4,1,1,0,0,0,69,
South Elementary,Gr.1,0,4,3,0,0,0,86,
South Elementary,Gr.2,1,7,2,1,0,0,76,
South Elementary,Gr.3,1,3,5,0,0,0,96,
South Elementary,Gr.4,2,5,2,1,0,0,76,
Stall Brook,K,1,4,3,2,0,0,50,
Stall Brook,Gr.1,0,5,3,0,0,0,45,
Stall Brook,Gr.2,0,1,4,1,0,0,48,
Stall Brook,Gr.3,2,1,1,0,0,0,34,
Stall Brook,Gr.4,0,2,0,2,0,0,43,
Bellingham Memorial Middle School,Gr.5,3,10,4,4,0,0,177,
Bellingham Memorial Middle School,Gr.6,4,7,12,3,1,0,172,
Bellingham Memorial Middle School,Gr.7,3,6,3,1,1,0,163,
Bellingham Memorial Middle School,Gr.8,3,3,7,2,1,0,141,
Bellingham High School,Gr.9,2,4,4,1,0,0,130,
Bellingham High School,Gr.10,2,2,5,4,1,0,152,
Bellingham High School,Gr.11,3,7,2,1,0,0,155,
Bellingham High School,Gr.12,0,6,3,4,0,0,137,
Winn Brook,K,1,25,2,7,1,0,52,
Winn Brook,Gr.1,3,27,1,6,0,0,54,
Winn Brook,Gr.2,0,21,3,3,1,0,66,
Winn Brook,Gr.3,2,13,3,3,0,0,62,
Winn Brook,Gr.4,0,15,5,3,0,0,68,
Mary Lee Burbank,K,0,18,0,6,0,0,44,
Mary Lee Burbank,Gr.1,1,12,6,2,0,1,49,
Mary Lee Burbank,Gr.2,2,9,7,7,0,0,44,
Mary Lee Burbank,Gr.3,1,14,2,6,0,0,49,
Mary Lee Burbank,Gr.4,3,13,3,5,0,0,52,
Daniel Butler,K,2,17,8,3,1,0,40,
Daniel Butler,Gr.1,3,13,3,5,0,0,45,
Daniel Butler,Gr.2,1,19,3,6,0,0,39,
Daniel Butler,Gr.3,8,15,2,5,0,0,42,
Daniel Butler,Gr.4,4,16,5,7,0,0,57,
Roger E Wellington,K,2,22,3,10,0,0,74,
Roger E Wellington,PK,0,11,0,3,0,0,54,
Roger E Wellington,Gr.1,2,12,3,7,0,0,76,
Roger E Wellington,Gr.2,3,9,8,6,0,0,94,
Roger E Wellington,Gr.3,2,8,0,3,0,1,75,
Roger E Wellington,Gr.4,1,14,3,3,0,0,73,
Winthrop L Chenery Middle,Gr.5,14,51,10,21,0,0,220,
Winthrop L Chenery Middle,Gr.6,16,45,16,12,1,0,238,
Winthrop L Chenery Middle,Gr.7,14,50,11,8,0,0,215,
Winthrop L Chenery Middle,Gr.8,10,45,9,12,0,1,249,
Belmont High,Gr.9,16,42,12,27,0,0,217,
Belmont High,Gr.10,16,55,12,14,0,0,217,
Belmont High,Gr.11,15,50,9,17,0,0,194,
Belmont High,Gr.12,12,42,9,16,0,0,191,
Berkley Community School,K,0,0,0,1,0,0,95,
Berkley Community School,PK,0,0,1,0,0,0,74,
Berkley Community School,Gr.1,0,0,1,1,0,0,73,
Berkley Community School,Gr.2,1,0,2,0,0,0,75,
Berkley Community School,Gr.3,1,0,0,2,0,0,88,
Berkley Community School,Gr.4,1,1,2,1,0,0,93,
Berkley Middle School,Gr.5,0,0,2,2,0,0,87,
Berkley Middle School,Gr.6,2,0,3,1,0,0,85,
Berkley Middle School,Gr.7,0,0,3,2,0,0,85,
Berkley Middle School,Gr.8,2,2,3,2,0,0,79,
Berlin Memorial,K,0,1,0,1,0,0,26,
Berlin Memorial,PK,0,0,1,1,0,0,19,
Berlin Memorial,Gr.1,0,0,0,2,0,0,24,
Berlin Memorial,Gr.2,0,2,0,4,0,0,30,
Berlin Memorial,Gr.3,0,0,0,0,0,0,27,
Berlin Memorial,Gr.4,0,0,0,1,0,0,31,
Berlin Memorial,Gr.5,0,0,0,4,0,0,30,
Centerville Elementary,K,2,2,12,1,0,0,63,
Centerville Elementary,Gr.1,6,1,4,1,0,0,51,
Centerville Elementary,Gr.2,3,1,8,2,0,0,32,
Centerville Elementary,Gr.3,2,1,6,2,0,0,57,
Centerville Elementary,Gr.4,2,1,6,1,0,0,41,
Centerville Elementary,Gr.5,2,1,4,1,0,0,55,
Cove Elementary,K,3,1,15,5,0,0,46,
Cove Elementary,PK,3,2,14,4,0,0,69,
Cove Elementary,Gr.1,2,2,6,2,0,0,66,
Cove Elementary,Gr.2,0,3,6,3,0,0,60,
Cove Elementary,Gr.3,1,2,11,1,0,0,44,
Cove Elementary,Gr.4,1,3,2,2,0,0,72,
Cove Elementary,Gr.5,0,3,7,0,0,0,58,
Hannah Elementary,K,2,1,1,2,0,0,37,
Hannah Elementary,Gr.1,1,2,12,4,0,0,58,
Hannah Elementary,Gr.2,1,1,7,2,0,0,41,
Hannah Elementary,Gr.3,1,2,5,2,0,0,51,
Hannah Elementary,Gr.4,0,1,4,1,0,0,59,
Hannah Elementary,Gr.5,1,0,2,3,0,0,45,
North Beverly Elementary,K,0,1,2,3,0,0,56,
North Beverly Elementary,Gr.1,1,1,5,1,0,0,51,
North Beverly Elementary,Gr.2,1,1,4,2,0,0,64,
North Beverly Elementary,Gr.3,0,0,6,1,0,0,67,
North Beverly Elementary,Gr.4,1,1,8,4,0,0,56,
North Beverly Elementary,Gr.5,0,1,8,1,0,0,60,
Ayers/Ryal Side School,K,2,3,10,5,0,0,95,
